id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
9H,9H-2020-2021,-1253.03604405122,-1100.87374992196,-802.400818063639,-730.306848123215,-632.602710548062
5C,5C-2020-2021,-1997.38010970742,-9999,-1677.68449027619,-1497.07266554055,-1270.16566064923
5C,5C-2021-2022,-1748.00029903463,-1712.30012988672,-1032.79385082069,-9999,-943.344099589715
2P,2P-2020-2021,-1901.27434592353,-9999,-1325.82004633793,-1299.70687455656,-1193.22629831189
3P,3P-2020-2021,-2193.82876722053,-9999,-1522.60714868414,-1495.43854066532,-9999
3P,3P-2021-2022,-2431.77465087861,-2365.99641818454,-1594.62128028732,-1582.50770871533,-9999
1P,1P-2020-2021,-1118.96528610451,-884.990433577923,-868.052910841653,-9999,-9999
1P,1P-2021-2022,-2309.06968249881,-2289.75940684202,-1552.4739735122,-1546.02436971659,-9999
6C,6C-2020-2021,-1016.3938072063,-640.318025604788,-538.519988395055,-9999,-9999
6C,6C-2021-2022,-1109.67079228882,-536.501755199538,-528.020308393219,-521.749589414882,-9999
7C,7C-2020-2021,-1846.66347241464,-9999,-1605.75023399134,-1225.61768150448,-9999
7C,7C-2021-2022,-1950.02036407542,-1929.81373259916,-1061.50375464642,-9999,-1022.39104126324
0T_2nd,0T_2nd-2020-2021,-964.295382321248,-886.020752649458,-711.015375892372,-9999,-663.475935549318
0T_2nd,0T_2nd-2021-2022,-861.047876893187,-629.482362650492,-383.342184996535,-9999,-9999
8C,8C-2020-2021,-2106.30069992486,-9999,-1498.88102572607,-1453.60018749263,-1448.54218255203
8C,8C-2021-2022,-2359.50691351869,-2301.08070085473,-1618.99680311176,-9999,-9999
4P,4P-2020-2021,-2171.51286645672,-9999,-1989.16021124926,-1518.4855913204,-9999
4P,4P-2021-2022,-2107.22836542857,-9999,-1999.87950248099,-1552.27832641738,-1518.2030441039
0P,0P-2020-2021,-2183.23710522205,-2089.89897130747,-1463.34217614362,-1410.04162950636,-9999
0P,0P-2021-2022,-1014.15426183424,-715.684127433863,-709.215032759531,-340.574392268531,-319.942487292831
0E_2nd,0E_2nd-2021-2022,23.0772690356636,56.7782827008632,65.4406207842985,73.452441914049,-9999
6L_2nd,6L_2nd-2021-2022,-1881.45656784437,-1737.3977216262,-1729.6388726969,-1279.04446040109,-9999
9H_2nd,9H_2nd-2021-2022,-2375.04172721135,-2315.69707988637,-1874.666795495,-1616.05512094061,-1604.01234556203
